followers_count,following_count,post_count,bio_length,profile_pic,label,follower_following_ratio
121963.0,20863.0,0.0,773,0,1,5.8456192484662575
146872.0,51415.0,0.0,38,1,0,2.85654271044033
131937.0,68968.0,0.0,10,1,1,1.9129898940103525
103699.0,60430.0,0.0,623,1,0,1.715990137512204
119884.0,1515.0,0.0,408,0,1,79.07915567282322
110273.0,97206.0,0.0,107,1,0,1.1344141882786218
54891.0,145677.0,0.0,93,1,0,0.37679677096061176
137342.0,56240.0,0.0,822,1,0,2.4420262797603174
168271.0,5586.0,0.0,83,1,0,30.118310363343475
87503.0,120419.0,0.0,57,1,0,0.7266483972762
112732.0,122374.0,0.0,292,1,0,0.9212012257405516
126329.0,31186.0,0.0,15,1,0,4.0506941995062045
175208.0,26928.0,0.0,990,1,0,6.506294329533217
191340.0,122990.0,0.0,476,1,0,1.5557235895309414
16028.0,87029.0,0.0,837,1,1,0.18416637940939906
41095.0,20711.0,0.0,604,1,0,1.9841154886056391
67226.0,54962.0,0.0,991,1,0,1.2231137310554372
64825.0,20039.0,0.0,968,1,0,3.2347804391217565
774.0,36561.0,0.0,164,1,1,0.021169520266943822
59740.0,1577.0,0.0,436,1,0,37.85804816223067
194032.0,107792.0,0.0,726,1,0,1.800042674385164
64930.0,10785.0,0.0,655,1,0,6.0198405340255885
199046.0,72227.0,0.0,785,1,0,2.7558010743755883
5316.0,118680.0,0.0,402,1,1,0.04479234249795671
103360.0,61957.0,0.0,939,1,0,1.6682268633590496
184784.0,65431.0,0.0,385,1,0,2.8240616212250886
85310.0,148369.0,0.0,953,1,0,0.5749814652557794
159770.0,71894.0,0.0,137,1,0,2.2222685861325546
130613.0,55192.0,0.0,715,1,0,2.3664776330331745
156735.0,1462.0,0.0,813,1,0,107.1326042378674
84483.0,128848.0,0.0,721,1,0,0.655674471668387
122542.0,146583.0,0.0,530,1,0,0.8359848278120395
149508.0,76106.0,0.0,805,1,0,1.964444794828334
130528.0,48665.0,0.0,292,1,0,2.68211893313607
2752.0,81010.0,0.0,474,1,1,0.03397069533767019
123860.0,72573.0,0.0,879,1,0,1.7066718108413481
190227.0,107803.0,0.0,461,1,0,1.7645634670327632
65730.0,119682.0,0.0,812,1,0,0.5492008054610931
129986.0,13386.0,0.0,372,1,0,9.709867782176739
84659.0,124069.0,0.0,161,1,0,0.6823486741355687
166850.0,54460.0,0.0,641,1,0,3.0636602339288665
119351.0,137293.0,0.0,43,1,0,0.8693096566492345
67440.0,115375.0,0.0,864,1,0,0.5845236444321176
56891.0,112660.0,0.0,82,1,0,0.5049751022980445
66808.0,91319.0,0.0,891,0,1,0.731581252737626
31556.0,116582.0,0.0,635,1,1,0.27067411200603864
116221.0,135994.0,0.0,538,1,0,0.8545975954998346
11399.0,42771.0,0.0,815,1,1,0.2665061255026653
69097.0,52335.0,0.0,861,1,0,1.320257566493427
3895.0,52949.0,0.0,518,0,1,0.07355996222851748
41611.0,95558.0,0.0,410,1,0,0.4354482570977093
87318.0,146312.0,0.0,340,1,0,0.5967890754751799
141704.0,102272.0,0.0,710,1,0,1.3855465274314824
8797.0,2716.0,0.0,623,1,0,3.237762237762238
174078.0,147646.0,0.0,88,1,0,1.179014812356499
154974.0,71916.0,0.0,639,1,0,2.15490078840886
68153.0,50906.0,0.0,229,1,0,1.3387746282436601
124248.0,463.0,0.0,17,0,1,267.7758620689655
120179.0,74694.0,0.0,800,1,0,1.608929647232077
154560.0,68694.0,0.0,672,0,1,2.2499454108741537
124363.0,20008.0,0.0,863,1,0,6.215353091109001
48560.0,70474.0,0.0,889,0,1,0.6890386661936857
17164.0,38185.0,0.0,280,1,0,0.4494841041219295
110515.0,87924.0,0.0,909,1,0,1.2569235143588287
106535.0,34980.0,0.0,421,1,0,3.0455104199422545
80082.0,22504.0,0.0,677,1,0,3.5584092423905798
35925.0,54970.0,0.0,771,1,0,0.6535264048316385
198198.0,16766.0,0.0,875,0,1,11.820719269994632
19462.0,116944.0,0.0,701,0,1,0.16642011201847023
197634.0,93922.0,0.0,337,1,0,2.1042130255634937
78958.0,142767.0,0.0,265,1,0,0.5530511038888266
53000.0,148868.0,0.0,802,1,0,0.356017706842929
171834.0,145631.0,0.0,354,0,1,1.1799192485168095
9697.0,120494.0,0.0,359,0,1,0.08047636831403793
176835.0,8802.0,0.0,790,1,0,20.08803816880609
196774.0,34159.0,0.0,216,0,1,5.7603629976580795
37070.0,11516.0,0.0,320,0,1,3.218720152817574
99304.0,50492.0,0.0,849,0,1,1.9666884518646148
163683.0,29086.0,0.0,718,0,1,5.627359301406126
11539.0,113758.0,0.0,664,1,1,0.10143373271565327
40402.0,30480.0,0.0,991,0,1,1.3254814474590728
91392.0,128023.0,0.0,692,1,0,0.7138661500968568
1021.0,110195.0,0.0,211,1,1,0.009265309085629243
55596.0,38737.0,0.0,784,1,0,1.435179926686974
23252.0,9265.0,0.0,952,1,0,2.5093891646881072
24305.0,114165.0,0.0,202,0,1,0.21289175411243277
82803.0,119501.0,0.0,716,1,0,0.6929005372295024
9273.0,70990.0,0.0,984,1,1,0.13062219154540716
86812.0,15386.0,0.0,915,1,0,5.64190550464678
12190.0,104718.0,0.0,895,0,1,0.11640676477048101
194781.0,37425.0,0.0,152,1,0,5.2044300753486885
170176.0,121635.0,0.0,681,1,0,1.3990594889670822
139648.0,53634.0,0.0,428,1,0,2.603672974736646
38049.0,86988.0,0.0,752,1,0,0.4374001310510524
51219.0,106337.0,0.0,286,1,0,0.48166224679794617
192305.0,141215.0,0.0,756,1,0,1.3617791185134829
114757.0,146653.0,0.0,320,1,0,0.7825016705988245
48989.0,67443.0,0.0,435,1,0,0.7263655773678904
40779.0,29424.0,0.0,591,0,1,1.3858623619371282
2573.0,88844.0,0.0,495,1,1,0.028960549271202656
120156.0,41984.0,0.0,603,1,0,2.861879242586638
193669.0,41505.0,0.0,148,1,0,4.666048282176071
198640.0,102478.0,0.0,541,1,0,1.9383483445388812
133772.0,62699.0,0.0,634,1,0,2.133524720893142
124380.0,114012.0,0.0,898,1,0,1.090928227482831
179267.0,34758.0,0.0,481,1,0,5.157426853476798
136335.0,136668.0,0.0,325,1,0,0.9975561392854269
39509.0,16374.0,0.0,938,0,1,2.412763358778626
164236.0,118686.0,0.0,28,1,0,1.3837741285903258
13991.0,3775.0,0.0,258,0,1,3.7052436440677967
61863.0,27388.0,0.0,697,1,0,2.2586804921683887
129317.0,123800.0,0.0,928,1,0,1.0445553751585206
12671.0,21029.0,0.0,74,1,0,0.6025202092249168
38665.0,83981.0,0.0,556,1,0,0.46039627539234595
134638.0,53639.0,0.0,580,0,1,2.5100298284862044
26859.0,114010.0,0.0,497,1,1,0.23558253151011743
64510.0,145717.0,0.0,415,1,0,0.4427044016525069
104493.0,31105.0,0.0,878,1,0,3.3592554491094964
183328.0,144740.0,0.0,721,0,1,1.2665934324068508
22667.0,147032.0,0.0,750,1,1,0.15416267096502145
8397.0,126519.0,0.0,339,0,1,0.06636895352513436
30540.0,142429.0,0.0,307,1,1,0.21442111914624729
113574.0,102739.0,0.0,703,0,1,1.1054506521315943
52261.0,51796.0,0.0,883,1,0,1.008958047763384
89140.0,15804.0,0.0,614,1,0,5.639987345776653
127483.0,127732.0,0.0,240,1,0,0.9980427923872452
35227.0,145698.0,0.0,252,1,1,0.24177928468966842
77378.0,7951.0,0.0,935,1,0,9.730633802816902
123689.0,137521.0,0.0,219,1,0,0.8994124576431407
194412.0,19065.0,0.0,396,1,0,10.196790097555859
10970.0,101503.0,0.0,985,1,1,0.10807455863808323
24543.0,105072.0,0.0,335,1,1,0.23358046310660208
108071.0,140202.0,0.0,728,0,1,0.7708180281449042
113257.0,89360.0,0.0,713,1,0,1.2674097201239916
139187.0,62287.0,0.0,28,1,0,2.2345716670947855
158343.0,137126.0,0.0,493,0,1,1.1547178892559453
184069.0,107357.0,0.0,958,1,0,1.7145345479610277
98811.0,29670.0,0.0,997,1,0,3.3302214283306935
137987.0,49112.0,0.0,723,1,0,2.809581984403315
